2023-04-30 09:54:09 INFO: ---Batch 0---
2023-04-30 09:54:10 INFO: Forward Pass with Batch 1 takes 0.5717334747314453s
2023-04-30 09:54:10 INFO: Saving the masks
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
2023-04-30 09:54:10 INFO: ---saving segmentation matrix---
2023-04-30 09:54:10 INFO: ---saving segmentation information---
2023-04-30 09:54:10 INFO: ---saving mask images
